"filename", "language", "Dart", "comment", "blank", "total"
"c:\dev\blookly_app\lib\constants.dart", "Dart", 4, 0, 2, 6
"c:\dev\blookly_app\lib\core\utils\app_router.dart", "Dart", 30, 0, 2, 32
"c:\dev\blookly_app\lib\core\utils\assets.dart", "Dart", 4, 0, 1, 5
"c:\dev\blookly_app\lib\core\utils\styles.dart", "Dart", 25, 0, 2, 27
"c:\dev\blookly_app\lib\core\widgets\custom_button.dart", "Dart", 38, 0, 2, 40
"c:\dev\blookly_app\lib\feature\home\presentation\view\books_details_view.dart", "Dart", 11, 0, 3, 14
"c:\dev\blookly_app\lib\feature\home\presentation\view\home_view.dart", "Dart", 11, 0, 3, 14
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\best_seller_list_view.dart", "Dart", 20, 0, 3, 23
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\best_seller_list_view_item.dart", "Dart", 80, 0, 3, 83
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\book_details_view_body.dart", "Dart", 68, 0, 3, 71
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\book_rating.dart", "Dart", 37, 0, 2, 39
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\books_action.dart", "Dart", 36, 0, 3, 39
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\custom_app_bar.dart", "Dart", 32, 0, 3, 35
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\custom_book_details_app_bar.dart", "Dart", 20, 0, 3, 23
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\custom_book_item.dart", "Dart", 19, 0, 3, 22
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\featured_list_view.dart", "Dart", 19, 0, 3, 22
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\home_view_body.dart", "Dart", 46, 0, 3, 49
"c:\dev\blookly_app\lib\feature\home\presentation\view\widgets\similar_books_list_view.dart", "Dart", 19, 0, 3, 22
"c:\dev\blookly_app\lib\feature\search\presentation\views\search_view.dart", "Dart", 11, 0, 3, 14
"c:\dev\blookly_app\lib\feature\search\presentation\views\widgets\custom_search_text_field.dart", "Dart", 28, 0, 4, 32
"c:\dev\blookly_app\lib\feature\search\presentation\views\widgets\search_view_body.dart", "Dart", 57, 0, 5, 62
"c:\dev\blookly_app\lib\feature\splash\presentation\views\splash_view.dart", "Dart", 11, 0, 3, 14
"c:\dev\blookly_app\lib\feature\splash\presentation\views\widgets\sliding_text.dart", "Dart", 23, 0, 4, 27
"c:\dev\blookly_app\lib\feature\splash\presentation\views\widgets\splash_view_body.dart", "Dart", 53, 5, 10, 68
"c:\dev\blookly_app\lib\main.dart", "Dart", 21, 0, 4, 25
"Total", "-", 723, 5, 80, 808
